County Name,total_voters,registered_voters,hillary_clinton,richard_duncan,gary_johnson,jill_stein,donald_j_trump,no_pres,swing,swing_cat,area,voter_density,system
Fairfield,74225,100115,24881,373,2439,558,44314,1660,0.2618120579319636,red,504.41,198.47941158977815,Premier AccuVote-TSX
Fayette,11325,16247,2739,50,295,57,7995,189,0.46410596026490064,red,406.36,39.981789546215175,ES&S DS200
Franklin,593435,843481,351198,1866,19725,6106,199331,15209,-0.2559117679274057,blue,532.19,1584.9245570191094,ES&S iVotronic
Fulton,21602,29058,6069,139,1024,167,13709,494,0.35367095639292656,red,405.44,71.67028413575375,Premier AccuVote-TSX
Gallia,13250,18831,2628,83,285,98,9822,334,0.5429433962264151,red,466.53,40.363963732235874,Premier AccuVote-TSX
Geauga,51580,64856,17569,228,1502,333,30227,1721,0.24540519581233036,red,400.16,162.07516993202717,ES&S Model 100
Greene,83701,114521,28943,302,3277,680,48540,1959,0.23413101396638034,red,413.73,276.80129553090177,Premier AccuVote-TSX
Guernsey,16852,24186,4359,84,549,99,11445,316,0.42048421552338,red,522.25,46.31115366203925,Dominion
Hamilton,417456,580341,215719,1211,13200,3723,173665,9938,-0.10073876049212373,blue,405.91,1429.7282648863047,Hart eScan
Hancock,36571,50411,9609,217,1535,319,24183,708,0.3985124825681551,red,531.36,94.87165010538995,Premier AccuVote-TSX
Hardin,12516,18035,2920,79,465,80,8717,255,0.4631671460530521,red,470.41,38.33889585680576,Premier AccuVote-TSX
Harrison,7231,10056,1688,50,178,53,5098,164,0.4715806942331628,red,402.34,24.99378634985336,Dominion
Henry,14216,19315,3756,99,659,111,9301,290,0.390053460889139,red,416.01,46.429172375664045,Premier AccuVote-TSX
Highland,18769,27621,3773,92,473,103,14020,308,0.5459534338536949,red,553.08,49.94033412887828,Premier AccuVote-TSX
Hocking,13103,18444,3775,82,367,90,8497,292,0.36037548652980234,red,421.32,43.776701794360584,Premier AccuVote-TSX
Holmes,11654,17938,1788,62,374,53,8720,657,0.5948172301355757,red,422.53,42.453790263413254,Unisyn OpenElect
Huron,25343,35732,7192,244,923,192,16226,566,0.35646924199976326,red,491.5,72.6998982706002,Dominion
Jackson,13951,21235,3226,75,373,64,9949,264,0.48190093900078845,red,420.3,50.52343564120866,Premier AccuVote-TSX
Jefferson,32904,47714,9675,196,841,194,21117,881,0.3477388767323122,red,408.33,116.85156613523377,Premier AccuVote-TSX
Knox,29278,40590,8171,164,936,208,19131,668,0.37434250973427147,red,525.49,77.24219300081828,ES&S DS200
